"","SubjID","Condition","Item","Region","GenderMatch","Referentiality","Phrase","RT","LogRT","Accuracy"
"1",1680180747,"QuantificationalMatch",1,5,"Yes","Quantificational","de cursos",271,5.6021188208797,1
"2",1680180747,"QuantificationalMatch",1,7,"Yes","Quantificational","quieren",281,5.63835466933375,1
"3",1680180747,"QuantificationalMatch",1,4,"Yes","Quantificational","conocia",264,5.57594910314632,1
"4",1680180747,"QuantificationalMatch",1,10,"Yes","Quantificational","el prestigioso",281,5.63835466933375,1
"5",1680180747,"QuantificationalMatch",1,3,"Yes","Quantificational","ningun chico",217,5.37989735354046,1
"6",1680180747,"QuantificationalMatch",1,6,"Yes","Quantificational","anteriores",272,5.605802066296,1
"7",1680180747,"QuantificationalMatch",1,12,"Yes","Quantificational","de debate.",256,5.54517744447956,1
"8",1680180747,"QuantificationalMatch",1,2,"Yes","Quantificational","que",214,5.36597601502185,1
"9",1680180747,"QuantificationalMatch",1,9,"Yes","Quantificational","ante",303,5.71373280550937,1
"10",1680180747,"QuantificationalMatch",1,1,"Yes","Quantificational","a las",232,5.44673737166631,1
"11",1680180747,"QuantificationalMatch",1,11,"Yes","Quantificational","grupo",312,5.74300318780948,1
"12",1680180747,"QuantificationalMatch",1,0,"Yes","Quantificational","Las profesoras",338,5.82304589548302,1
"13",1680180747,"QuantificationalMatch",1,8,"Yes","Quantificational","presentarlo",272,5.605802066296,1
"14",1680180747,"QuantificationalMatch",13,8,"Yes","Quantificational","denunciarla",287,5.65948221575962,1
"15",1680180747,"QuantificationalMatch",13,7,"Yes","Quantificational","quieren",256,5.54517744447956,1
"16",1680180747,"QuantificationalMatch",13,11,"Yes","Quantificational","de Recursos",384,5.95064255258773,1
"17",1680180747,"QuantificationalMatch",13,10,"Yes","Quantificational","el Comite",256,5.54517744447956,1
"18",1680180747,"QuantificationalMatch",13,1,"Yes","Quantificational","a los",257,5.54907608489522,1
"19",1680180747,"QuantificationalMatch",13,12,"Yes","Quantificational","Humanos.",257,5.54907608489522,1
"20",1680180747,"QuantificationalMatch",13,9,"Yes","Quantificational","ante",401,5.99396142730657,1
"21",1680180747,"QuantificationalMatch",13,0,"Yes","Quantificational","Los candidatos",319,5.76519110278484,1
"22",1680180747,"QuantificationalMatch",13,3,"Yes","Quantificational","ninguna directora",248,5.51342874616498,1
"23",1680180747,"QuantificationalMatch",13,5,"Yes","Quantificational","para",289,5.66642668811243,1
"24",1680180747,"QuantificationalMatch",13,2,"Yes","Quantificational","que",240,5.48063892334199,1
"25",1680180747,"QuantificationalMatch",13,6,"Yes","Quantificational","el ascenso",272,5.605802066296,1
"26",1680180747,"QuantificationalMatch",13,4,"Yes","Quantificational","considero",375,5.92692602597041,1
"27",1680180747,"QuantificationalMatch",17,4,"Yes","Quantificational","patrocina",489,6.19236248947487,1
"28",1680180747,"QuantificationalMatch",17,2,"Yes","Quantificational","que",295,5.68697535633982,1
"29",1680180747,"QuantificationalMatch",17,10,"Yes","Quantificational","contra",392,5.97126183979046,1
"30",1680180747,"QuantificationalMatch",17,7,"Yes","Quantificational","van a",224,5.41164605185504,1
"31",1680180747,"QuantificationalMatch",17,5,"Yes","Quantificational","en",335,5.81413053182507,1
"32",1680180747,"QuantificationalMatch",17,8,"Yes","Quantificational","invitarla",392,5.97126183979046,1
"33",1680180747,"QuantificationalMatch",17,9,"Yes","Quantificational","al partido",288,5.66296048013595,1
"34",1680180747,"QuantificationalMatch",17,12,"Yes","Quantificational","aleman.",257,5.54907608489522,1
"35",1680180747,"QuantificationalMatch",17,3,"Yes","Quantificational","ninguna inversora",240,5.48063892334199,1
"36",1680180747,"QuantificationalMatch",17,11,"Yes","Quantificational","el equipo",336,5.8171111599632,1
"37",1680180747,"QuantificationalMatch",17,1,"Yes","Quantificational","a las",264,5.57594910314632,1
"38",1680180747,"QuantificationalMatch",17,6,"Yes","Quantificational","la liga",248,5.51342874616498,1
"39",1680180747,"QuantificationalMatch",17,0,"Yes","Quantificational","Las futbolistas",473,6.15909538849193,1
"40",1680180747,"QuantificationalMatch",21,7,"Yes","Quantificational","quieren",312,5.74300318780948,1
"41",1680180747,"QuantificationalMatch",21,9,"Yes","Quantificational","del concurso",311,5.73979291217923,1
"42",1680180747,"QuantificationalMatch",21,2,"Yes","Quantificational","que",344,5.8406416573734,1
"43",1680180747,"QuantificationalMatch",21,0,"Yes","Quantificational","Las modelos",376,5.9295891433899,1
"44",1680180747,"QuantificationalMatch",21,4,"Yes","Quantificational","fotografio",376,5.9295891433899,1
"45",1680180747,"QuantificationalMatch",21,3,"Yes","Quantificational","ninguna universitaria",512,6.23832462503951,1
"46",1680180747,"QuantificationalMatch",21,6,"Yes","Quantificational","la revista",328,5.79301360838414,1
"47",1680180747,"QuantificationalMatch",21,8,"Yes","Quantificational","descalificarla",425,6.05208916892442,1
"48",1680180747,"QuantificationalMatch",21,5,"Yes","Quantificational","para",384,5.95064255258773,1
"49",1680180747,"QuantificationalMatch",21,10,"Yes","Quantificational","para jovenes",328,5.79301360838414,1
"50",1680180747,"QuantificationalMatch",21,1,"Yes","Quantificational","a las",327,5.78996017089725,1
"51",1680180747,"QuantificationalMatch",21,11,"Yes","Quantificational","artistas.",360,5.88610403145016,1
"52",1680180747,"QuantificationalMatch",5,5,"Yes","Quantificational","en",304,5.71702770140622,1
"53",1680180747,"QuantificationalMatch",5,3,"Yes","Quantificational","ningun costurero",249,5.51745289646471,1
"54",1680180747,"QuantificationalMatch",5,2,"Yes","Quantificational","que",264,5.57594910314632,1
"55",1680180747,"QuantificationalMatch",5,7,"Yes","Quantificational","quieren",327,5.78996017089725,1
"56",1680180747,"QuantificationalMatch",5,6,"Yes","Quantificational","el taller",281,5.63835466933375,1
"57",1680180747,"QuantificationalMatch",5,11,"Yes","Quantificational","de",328,5.79301360838414,1
"58",1680180747,"QuantificationalMatch",5,0,"Yes","Quantificational","Las disenadoras",304,5.71702770140622,1
"59",1680180747,"QuantificationalMatch",5,9,"Yes","Quantificational","durante",304,5.71702770140622,1
"60",1680180747,"QuantificationalMatch",5,1,"Yes","Quantificational","a las",256,5.54517744447956,1
"61",1680180747,"QuantificationalMatch",5,10,"Yes","Quantificational","el desfile",320,5.76832099579377,1
"62",1680180747,"QuantificationalMatch",5,13,"Yes","Quantificational","de invierno.",367,5.90536184805457,1
"63",1680180747,"QuantificationalMatch",5,4,"Yes","Quantificational","ayudo",399,5.98896141688986,1
"64",1680180747,"QuantificationalMatch",5,12,"Yes","Quantificational","la coleccion",313,5.74620319054015,1
"65",1680180747,"QuantificationalMatch",5,8,"Yes","Quantificational","sabotearlo",320,5.76832099579377,1
"66",1680180747,"QuantificationalMatch",9,6,"Yes","Quantificational","el tribunal",497,6.20859002609663,1
"67",1680180747,"QuantificationalMatch",9,11,"Yes","Quantificational","del divorcio.",433,6.07073772800249,1
"68",1680180747,"QuantificationalMatch",9,10,"Yes","Quantificational","los tramites",433,6.07073772800249,1
"69",1680180747,"QuantificationalMatch",9,1,"Yes","Quantificational","a las",463,6.13772705408623,1
"70",1680180747,"QuantificationalMatch",9,2,"Yes","Quantificational","que",409,6.0137151560428,1
"71",1680180747,"QuantificationalMatch",9,9,"Yes","Quantificational","para",423,6.04737217904628,1
"72",1680180747,"QuantificationalMatch",9,0,"Yes","Quantificational","Las clientas",736,6.60123011872888,1
"73",1680180747,"QuantificationalMatch",9,3,"Yes","Quantificational","ningun abogado",1184,7.07665381544395,1
"74",1680180747,"QuantificationalMatch",9,8,"Yes","Quantificational","contratarlo",416,6.03068526026126,1
"75",1680180747,"QuantificationalMatch",9,4,"Yes","Quantificational","represento",656,6.48616078894409,1
"76",1680180747,"QuantificationalMatch",9,5,"Yes","Quantificational","ante",519,6.25190388316589,1
"77",1680180747,"QuantificationalMatch",9,7,"Yes","Quantificational","quieren",528,6.26909628370626,1
"78",1680188164,"QuantificationalMatch",8,2,"Yes","Quantificational","que",761,6.63463335786169,1
"79",1680188164,"QuantificationalMatch",8,4,"Yes","Quantificational","quiere",793,6.67582322163485,1
"80",1680188164,"QuantificationalMatch",8,8,"Yes","Quantificational","sabotearlo",741,6.60800062529609,1
"81",1680188164,"QuantificationalMatch",8,11,"Yes","Quantificational","con",639,6.45990445437753,1
"82",1680188164,"QuantificationalMatch",8,7,"Yes","Quantificational","van a",1418,7.25700270709207,1
"83",1680188164,"QuantificationalMatch",8,10,"Yes","Quantificational","la reunion",648,6.47389069635227,1
"84",1680188164,"QuantificationalMatch",8,6,"Yes","Quantificational","el equipo",1582,7.3664451483276,1
"85",1680188164,"QuantificationalMatch",8,0,"Yes","Quantificational","Los ingenieros",783,6.6631326959908,1
"86",1680188164,"QuantificationalMatch",8,3,"Yes","Quantificational","ningun arquitecto",770,6.64639051484773,1
"87",1680188164,"QuantificationalMatch",8,1,"Yes","Quantificational","a los",840,6.73340189183736,1
"88",1680188164,"QuantificationalMatch",8,9,"Yes","Quantificational","durante",518,6.24997524225948,1
"89",1680276033,"QuantificationalMatch",3,10,"Yes","Quantificational","la carrera",894,6.79570577517351,1
