SubjID,Condition,Item,Region,GenderMatch,Referentiality,Phrase,RT,LogRT,Accuracy
1681044381,QuantificationalMatch,5,7,Yes,Quantificational,el taller,538,6.2878585601617845,1
1681234822,QuantificationalMatch,15,5,Yes,Quantificational,atendio,450,6.1092475827643655,1
1681135974,QuantificationalMatch,10,13,Yes,Quantificational,de cine.,530,6.272877006546167,1
1681135974,QuantificationalMatch,10,12,Yes,Quantificational,festival,466,6.1441856341256456,1
1681135974,QuantificationalMatch,10,11,Yes,Quantificational,el proximo,481,6.175867270105761,1
1681154492,QuantificationalMatch,3,2,Yes,Quantificational,a las,216,5.375278407684165,1
1681154492,QuantificationalMatch,3,1,Yes,Quantificational,Las atletas,291,5.673323267171493,1
1681301571,QuantificationalMatch,13,10,Yes,Quantificational,ante,226,5.420534999272286,1
1681044381,QuantificationalMatch,21,5,Yes,Quantificational,fotografio,970,6.877296071497429,1
1681154492,QuantificationalMatch,3,3,Yes,Quantificational,que,208,5.337538079701318,1
1681135988,QuantificationalMatch,14,10,Yes,Quantificational,del curso,466,6.1441856341256456,1
1681236048,QuantificationalMatch,15,7,Yes,Quantificational,la conferencia,299,5.700443573390687,1
1681135974,QuantificationalMatch,18,2,Yes,Quantificational,a los,509,6.2324480165505225,1
1681236048,QuantificationalMatch,15,11,Yes,Quantificational,los efectos,279,5.631211781821365,1
1681144735,QuantificationalMatch,2,1,Yes,Quantificational,Los doctores,298,5.697093486505405,1
1681137487,QuantificationalMatch,13,13,Yes,Quantificational,Humanos.,326,5.786897381366708,1
1681044381,QuantificationalMatch,5,6,Yes,Quantificational,en,414,6.025865973825314,1
1681234822,QuantificationalMatch,15,4,Yes,Quantificational,ninguna presidenta,325,5.783825182329737,1
1681135988,QuantificationalMatch,18,2,Yes,Quantificational,a los,260,5.560681631015528,1
1681053639,QuantificationalMatch,4,6,Yes,Quantificational,al banquete,390,5.966146739123692,1
1681053639,QuantificationalMatch,24,12,Yes,Quantificational,consulta online.,435,6.075346031088684,1
1681053639,QuantificationalMatch,4,4,Yes,Quantificational,ningun conde,361,5.8888779583328805,1
1681301571,QuantificationalMatch,13,12,Yes,Quantificational,de Recursos,297,5.6937321388027,1
1681044051,QuantificationalMatch,23,3,Yes,Quantificational,que,517,6.248042874508429,1
1681135974,QuantificationalMatch,14,1,Yes,Quantificational,Los cientificos,1178,7.071573364211532,1
1681236048,QuantificationalMatch,11,6,Yes,Quantificational,tras,381,5.942799375126701,1
1681144735,QuantificationalMatch,18,10,Yes,Quantificational,desde,424,6.049733455231958,1
1681236048,QuantificationalMatch,15,9,Yes,Quantificational,educar,297,5.6937321388027,1
1681236048,QuantificationalMatch,15,10,Yes,Quantificational,sobre,304,5.717027701406222,1
1681044381,QuantificationalMatch,5,5,Yes,Quantificational,ayudo,632,6.448889394146858,1
1681137487,QuantificationalMatch,13,12,Yes,Quantificational,de Recursos,295,5.68697535633982,1
1681301571,QuantificationalMatch,13,11,Yes,Quantificational,el Comite,290,5.66988092298052,1
1681053639,QuantificationalMatch,4,5,Yes,Quantificational,invito,403,5.998936561946683,1
1681234822,QuantificationalMatch,11,2,Yes,Quantificational,a los,643,6.466144724237619,1
1681236048,QuantificationalMatch,15,2,Yes,Quantificational,a los,317,5.75890177387728,1
1681053639,QuantificationalMatch,4,1,Yes,Quantificational,Los espias,373,5.921578419643816,1
1681044381,QuantificationalMatch,21,4,Yes,Quantificational,ninguna universitaria,1743,7.463363045520021,1
1681144735,QuantificationalMatch,18,12,Yes,Quantificational,de,442,6.091309882077698,1
1681044381,QuantificationalMatch,21,6,Yes,Quantificational,para,582,6.366470447731438,1
1681236048,QuantificationalMatch,19,1,Yes,Quantificational,Las camareras,430,6.063785208687608,1
1681301571,QuantificationalMatch,17,1,Yes,Quantificational,Las futbolistas,241,5.484796933490655,1
1681301571,QuantificationalMatch,17,2,Yes,Quantificational,a las,254,5.537334267018537,1
1681044381,QuantificationalMatch,5,3,Yes,Quantificational,que,695,6.543911845564792,1
1681135988,QuantificationalMatch,14,9,Yes,Quantificational,echar,257,5.54907608489522,1
1681236048,QuantificationalMatch,15,6,Yes,Quantificational,en,306,5.723585101952381,1
1681135974,QuantificationalMatch,10,10,Yes,Quantificational,durante,426,6.054439346269371,1
1681236048,QuantificationalMatch,15,5,Yes,Quantificational,atendio,313,5.746203190540153,1
1681135988,QuantificationalMatch,18,3,Yes,Quantificational,que,285,5.652489180268651,1
1681301571,QuantificationalMatch,17,7,Yes,Quantificational,la liga,272,5.605802066295998,1
1681044051,QuantificationalMatch,23,2,Yes,Quantificational,a las,520,6.253828811575473,1
1681144735,QuantificationalMatch,2,7,Yes,Quantificational,la ambulancia,644,6.467698726104354,1
1681234822,QuantificationalMatch,15,6,Yes,Quantificational,en,383,5.948034989180646,1
1681135988,QuantificationalMatch,18,1,Yes,Quantificational,Los nietos,340,5.8289456176102075,1
1681236048,QuantificationalMatch,15,13,Yes,Quantificational,climatico.,299,5.700443573390687,1
1681044381,QuantificationalMatch,5,2,Yes,Quantificational,a las,513,6.240275845170769,1
1681135988,QuantificationalMatch,14,11,Yes,Quantificational,de Quimica,482,6.1779441140506,1
1681044381,QuantificationalMatch,5,4,Yes,Quantificational,ningun costurero,985,6.892641641172089,1
1681301571,QuantificationalMatch,13,9,Yes,Quantificational,denunciar,229,5.43372200355424,1
1681301571,QuantificationalMatch,1,5,Yes,Quantificational,conocia,224,5.4116460518550396,1
1681234822,QuantificationalMatch,19,1,Yes,Quantificational,Las camareras,425,6.052089168924417,1
1680954809,QuantificationalMatch,18,1,Yes,Quantificational,Los nietos,349,5.855071922202427,1
1681234822,QuantificationalMatch,11,3,Yes,Quantificational,que,586,6.373319789577012,1
1681144735,QuantificationalMatch,18,9,Yes,Quantificational,llamar,519,6.251903883165888,1
1681144735,QuantificationalMatch,18,11,Yes,Quantificational,el telefono,594,6.386879319362645,1
1681234822,QuantificationalMatch,11,6,Yes,Quantificational,tras,489,6.192362489474872,1
1681154492,QuantificationalMatch,3,4,Yes,Quantificational,ningun corredor,204,5.318119993844216,1
1681236048,QuantificationalMatch,15,12,Yes,Quantificational,del cambio,287,5.659482215759621,1
1681053639,QuantificationalMatch,4,8,Yes,Quantificational,lo intentaron,508,6.230481447578482,1
1681044381,QuantificationalMatch,5,1,Yes,Quantificational,Las disenadoras,647,6.472346294500901,1
1681301571,QuantificationalMatch,17,3,Yes,Quantificational,que,328,5.793013608384144,1
1681137487,QuantificationalMatch,13,11,Yes,Quantificational,el Comite,262,5.568344503761097,1
1681053639,QuantificationalMatch,4,3,Yes,Quantificational,que,348,5.8522024797744745,1
1681301571,QuantificationalMatch,1,4,Yes,Quantificational,ningun chico,197,5.2832037287379885,1
1681135974,QuantificationalMatch,10,9,Yes,Quantificational,abuchear,539,6.289715570908998,1
1681144735,QuantificationalMatch,2,4,Yes,Quantificational,ningun enfermero,592,6.3835066348840055,1
1681044051,QuantificationalMatch,23,1,Yes,Quantificational,Las bailarinas,1396,7.241366283322318,1
1681144735,QuantificationalMatch,2,6,Yes,Quantificational,en,979,6.88653164253051,1
1681234822,QuantificationalMatch,15,1,Yes,Quantificational,Los biologos,418,6.035481432524756,1
1681234822,QuantificationalMatch,11,9,Yes,Quantificational,a despistar,578,6.359573868672378,1
1681144735,QuantificationalMatch,2,2,Yes,Quantificational,a los,550,6.309918278226516,1
1681301571,QuantificationalMatch,13,13,Yes,Quantificational,Humanos.,396,5.981414211254481,1
1681044051,QuantificationalMatch,23,8,Yes,Quantificational,la deberian,359,5.883322388488279,1
1681137487,QuantificationalMatch,13,9,Yes,Quantificational,denunciar,276,5.62040086571715,1
1681301571,QuantificationalMatch,17,6,Yes,Quantificational,en,338,5.823045895483019,1
1681301571,QuantificationalMatch,17,5,Yes,Quantificational,patrocina,565,6.336825731146441,1
1681053639,QuantificationalMatch,4,2,Yes,Quantificational,a los,374,5.924255797414532,1
1681044051,QuantificationalMatch,23,12,Yes,Quantificational,de ballet.,759,6.63200177739563,1
1681236048,QuantificationalMatch,19,2,Yes,Quantificational,a las,389,5.963579343618446,1
1681236048,QuantificationalMatch,19,3,Yes,Quantificational,que,332,5.805134968916488,1
1681044381,QuantificationalMatch,5,13,Yes,Quantificational,la coleccion,464,6.139884552226255,1
1681135974,QuantificationalMatch,18,3,Yes,Quantificational,que,406,6.0063531596017325,1
1681044051,QuantificationalMatch,23,4,Yes,Quantificational,ninguna espectadora,880,6.779921907472252,1
1681135974,QuantificationalMatch,14,2,Yes,Quantificational,a los,669,6.505784060128229,1
1681144735,QuantificationalMatch,2,3,Yes,Quantificational,que,706,6.559615237493242,1
1681236048,QuantificationalMatch,15,8,Yes,Quantificational,la intentaron,317,5.75890177387728,1
1681044051,QuantificationalMatch,23,9,Yes,Quantificational,reganar,918,6.822197390620491,1
1681137487,QuantificationalMatch,13,10,Yes,Quantificational,ante,287,5.659482215759621,1
1681301571,QuantificationalMatch,13,8,Yes,Quantificational,la quieren,247,5.5093883366279774,1
1681234822,QuantificationalMatch,15,13,Yes,Quantificational,climatico.,379,5.937536205082426,1
1681301571,QuantificationalMatch,1,3,Yes,Quantificational,que,212,5.356586274672012,1
1681234822,QuantificationalMatch,11,1,Yes,Quantificational,Las asesinos,776,6.654152520183219,1
1680954809,QuantificationalMatch,18,2,Yes,Quantificational,a los,296,5.69035945432406,1
1681301571,QuantificationalMatch,21,7,Yes,Quantificational,la revista,285,5.652489180268651,1
1681234822,QuantificationalMatch,11,5,Yes,Quantificational,atrapo,598,6.393590753950631,1
1681137579,QuantificationalMatch,5,1,Yes,Quantificational,Las disenadoras,497,6.208590026096629,1
1681234822,QuantificationalMatch,11,7,Yes,Quantificational,la persecucion,488,6.1903154058531475,1
1681135974,QuantificationalMatch,14,3,Yes,Quantificational,que,643,6.466144724237619,1
1681053639,QuantificationalMatch,4,7,Yes,Quantificational,navideno,1936,7.568379267836522,1
1681137487,QuantificationalMatch,13,7,Yes,Quantificational,el ascenso,268,5.5909869805108565,1
1681135988,QuantificationalMatch,14,12,Yes,Quantificational,organica.,425,6.052089168924417,1
1681301571,QuantificationalMatch,17,4,Yes,Quantificational,ninguna inversora,624,6.436150368369428,1
